Mois,(Tous),,,,,,,,MT,Contribution '25,0.4677043522764932,0.44385217874148497,,,,,,0.911556531,1,Contribution 2025,,,,DIVISION,Contribution '25,0.0246669955599408,0.7750370004933399,0.0740009866798224,0.1262950172668969,,,,1,1,Contribution 2025
IMP,2221848,4254.623280000001,0.341977988,0.6877227755,,,,,2,PDV 1,0,0,,,,,,0,,,,,,2,PDV 1,0,0,,,,,,0,,
Bonnet Rouge 16g,175993,337.90655999999973,0.07942102926,0.079210189,#ERROR!,,,,,PDV 2,0,1,,,,,,0.5,,,,,,,PDV 2,0,1,,,,,,0.5,,
Bonnet Rouge Box 12x900g v2,2025,21.870000000000005,0.005140290588,0.0009114034803,#ERROR!,,,,,PDV 3,1,0,,,,,,0.5,,,,,,,PDV 3,1,0,,,,,,0.5,,
Bonnet Rouge Box 6x2500g v2,1075,16.125000000000007,0.003789994775,0.0004838314772,#ERROR!,,,,,,0.3333333333,0.3333333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.3333333333,,,,,,,,0.3333333333,0.3333333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.3333333333,,
Bonnet Rouge Delight 15g,172014,309.62519999999967,0.07277382264,0.07741933742,#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnet Rouge Delight 350g,18142,38.09819999999999,0.008954541329,0.008165275032,#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR Bonnet Rouge Box 24x400g,24,0.2304,5.415285557e-05,1.080181903e-05,#ERROR!,,,,,%,pearl 1kg,BR 1Kg,,,,,,,,Moyenne pondérée,,,,,%,pearl 1kg,BR 1Kg,397 R,BRB 1Kg,,,,,,Moyenne pondérée
BR Bonnet Rouge Box 24x400g v2,4080,39.168000000000006,0.009205985447,0.001836309234,#ERROR!,,,,,PDV 1,0,0,,,,,,0,,,,,,,PDV 1,0,0,,,,,,0,,
BR Bonnet Rouge Box 6x2500g,315,4.7250000000000005,0.001110556608,0.0001417738747,#ERROR!,,,,,PDV 2,0,0,,,,,,0,,,,,,,PDV 2,0,0.7,,,,,,0.7,,
BR IFFMP Veg '100 Ans' Box Sac 120x16g,1408.0000000000002,2.7033600000000004,0.0006353935054,0.0006337067162,#ERROR!,,,,,PDV 3,0,0,,,,,,0,,,,,,,PDV 3,0.3,0,,,,,,0.3,,
BR IFFMP Veg Box Pch 6x360g,1454,3.14064,0.0007381711125,0.0006544102027,#ERROR!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,,,,,,,0.3333333333,0.3333333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.3333333333,,
BR Imp Promo 440g,1260,13.305599999999998,0.003127327409,0.0005670954989,#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR Instant WMP Box Sachet 120x15g,848263,1526.8734000000034,0.3588739354,0.3817826422,#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR IWMP '100 Ans' Box Sac 120x16g,875272,1680.5222399999984,0.3949873184,0.3939387393,#ERROR!,,,,10,Value,pearl 1kg,BR 1Kg,,,,,,,,Note / 10,,,,10,Value,pearl 1kg,BR 1Kg,397 R,BRB 1Kg,,,,,,Note / 10
BR IWMP Box Pch 6x360g,120523,260.32967999999966,0.06118748074,0.05424448477,#ERROR!,,,,,PDV 1,0,0,,,,,,0,,,,,,,PDV 1,0,0,,,,,,0,,
SCM,16768,392.981472,0.03158705349,0.005190154997,,,,,,PDV 2,0,0,,,,,,0,,,,,,,PDV 2,0,7,,,,,,7,,
"Bonnet Rouge Concs Vg 6,9 Box24x1000g",32,0.768,0.001954290608,0.001908396947,#ERROR!,,,,,PDV 3,0,0,,,,,,0,,,,,,,PDV 3,3,0,,,,,,3,,
Bonnet Rouge Scm 8 Box24x1000g,848,20.351999999999997,0.05178870112,0.05057251908,#ERROR!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,,,,,,,33.33333333,33.33333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,33.33333333,,
