FC PH Master Data,COUNTRY CODE,COUNTRY NAME,REGION CODE,EQUIVALENCE,REGION NAME,SUB REGION,EQUIVALENCE,SUB REGION NAME,TERRITORY CODE,TERRITORY NAME,AREA CODE,AREA NAME,dist
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,MAR,Marcory,SICOG,SICOGI / REMBLAIS / ANOUMANBO/ SANS FIL / ZONE 4,SIDECOM
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,MAR,Marcory,HIBI,RÉSIDENTIEL / CHAMPROUX / GRPE/ HIBISCUS / MASSARANA / SICOGI / REMBLAIS /ANOUMANBO/ SANS FIL/ ZONE4,SIDECOM
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,KOU,koumassi,RBLA,REMBLAIS/MARAIS/ DIVO/ KOUMASSI 32/ TERM 05,SIDECOM
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,KOU,koumassi,CTE147,CITÉ 147/ PRODOMO/SOPIM/ CAMPEMENT/SOWETO/SICOGI,SIDECOM
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,KOU,koumassi,AHOU,AHOUSSABOUGOU/ 3 AMPOULES/ MARCHÉ DJE KONAN/SOLEIL/GELTI,SIDECOM
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,KOU,koumassi,KMSS32,REMBLAIS/MARAIS/ DIVO/ KOUMASSI 32/ TERM 05 /3 AMPOULES / AHOUSSABOUGOU,SIDECOM
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,KOU,koumassi,PRDM,CITÉ 147/ PRODOMO/SOPIM/ CAMPEMENT/SOWETO/SICOGI/ MARCHÉ DJE KONAN / SOLEIL,SIDECOM
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,PRB,Port bouet,PRBC,PORT BOUET CENTRE/CITÉ POLICIÈRE/PETIT BASSAM/VRIDI,SDHPA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,PRB,Port bouet,AERO,AÉROPORT/ ADJAWUI,SDHPA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,PRB,Port bouet,JANF,JEAN FOLLY/ ADJOUFOU,SDHPA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,PRB,Port bouet,TRCA,TERRE ROUGE/CORRIDOR/ANANI,SDHPA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,PRB,Port bouet,PRBO,PORT BOUET,SDHPA
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,BAS,Bassam,MOKE,MOCKEYVILLE/UNIVERSITÉ AMÉRICAINE/ EDOUKOU MIEZAN/QUARTIER ARTISANAL/MODESTE/ANANI/MOOSOU 1,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,BAS,Bassam,VETO,VETOCO/MOOSOU2/IMPERIAL/DOS/QUARTIER FRANCE/DIOULABOUGOU/AZURETI,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,BAS,Bassam,ANAN,ANANI/DOS/ DIOULABOUGO/PETIT MARCHÉ,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,BAS,Bassam,8KLO,8 KILOS/ YAOU/CENTRE VILLE/BEGNERI/SAMO/ASSINIE,LKA SERVICES
