id,code,nom,territoire_code
"252","MROCAN","MAROC/ANANERAIE/ PORT BOUET 2/LUBAFRIQUE/ NIANGON À DROITE /TEXACO À DROITE","YOP 4"
"253","SNGONN","SONGON/N'DJEM/ CARREFOUR JACQUESVILLE/JACQUESVILLE VILLE/ DABOU/N'ZEKREZESSOU....","DAB"
"254","GANDLA","GRAND LAHOU/CRF GRAND LAHOU/CRF FRESCO/FRESCO VILLE ET PÉRIPHÉRIES","DAB"
"255","DBOUVI","DABOU VILLE/ SONGON/ CARREFOUR JACQUESVILLE....","DAB"
"256","SNGON","SONGON/ CARREFOUR JACQUESVILLE/ JACQUESVILLE/ DABOU/GRAND LAHOU/FRESCO/","DAB"
"257","DKUI","DOKUI / ANADOR / COCO SERVICE DERRIÈRE UNIVERSITÉ ABOBO/ADJAMÉ / ALEPE","ABO 1"
"258","AOCATIERAVOCATIE","AVOCATIER / BC AUTOUTE / NOUVELLE GARE / AGNISSANKOI / BC","ABO 1"
"259","SMANKEKE","SAMANKE / KOLETCHA / ABOBO BAOULE / BIABOU","ABO 1"
"260","AEIKOIOI","AKEIKOI  / HABITAT  / AGBEKOI /  HOUPHOUT BOIGNY","ABO 1"
"261","LCEEMO","LYCEE MODERNE / ETOILE / GENDARMERIE / BON PRIX GENDARMERIE / CHATTONS","ABO 1"
"262","CTEPOL","CITE POLICIERE / CAMP COMMANDO / CNPS / AVENUE KAZA / COLATIER","ABO 1"
"263","AOBOGA","ABOBO GARE  / MAIRIE","ABO 1"
"264","MSQUEB","MOSQUE BLANCHE/ANOKOUA KOUTE/MARAHOUE/AGRIPAC","ABO 2"
"265","MSQUEB","MOSQUE BLANCHE/ANOKOUA KOUTE/MARAHOUE/AGRIPAC","ABO 2"
"266","SDECIO","SODECI/ONUCI/SOTRAPIM/CARREFOUR DIALLO/TAXI BAGAGE","ABO 2"
"267","SDECIO","SODECI/ONUCI/SOTRAPIM/CARREFOUR DIALLO/TAXI BAGAGE","ABO 2"
"268","CACOCC","CMA/COCCINELLE/CONCORDE/BOIS SEC/DELICE DE FRANCE / ANCIEN MARCHE/UNICAFE/FEU ENCIENNE GENDARMERIE","ABO 2"
"269","ACIENNE","ANCIENNE GENDARMERIE/ BELLE VILLE MORGUE/ GARE /ADZOPE/AGBOVILLE","ANY"
"270","CÄTEAU","CHÄTEAU/MARCHE COLA/MARCHE D'ANYAMA/DON ORION/AZAGUIE/BILDA AZAGUIE AWA ATTINGUE","ANY"
"271","AYAMAP","ANYAMA/PLAQUE ARABE/ANYAMA RESIDENTIEL/EBIMPE/","ANY"
"272","CÄTEAU","CHÄTEAU/MARCHE COLA/MARCHE D'ANYAMA/DON ORION/ MACHE CHAKA KONE","ANY"
"273","AEAUTO","AXE AUTOROUTE N'DOTRE/ DANDI/COMPLEXE/MAIRIE","ANY"
"274","ANCGEN","ANCIENNE GENDARMERIE/ BELLE VILLE MORGUE/ GARE","ANY"
"275","BNDJIN1","BANDJI/N'DOTRE EXTENSION/CELESTE/NOUVELLE CASSE / ARC EN CIEL/DANDY/KOBAKRO/TERRE ROUGE/AKWABA","ANY"
"276","BNDJIN2","BANDJI/N'DOTRE EXTENSION/CELESTE/NOUVELLE CASSE / ARC EN CIEL/DANDY/KOBAKRO/TERRE ROUGE/AKWABA","ANY"
"277","20LGTSLGTS","220LGTS / LIBERTÉ / QUARTIER LATIN / BRACODI / TERRASSE/RENAULT","ADJ"
"278","WILLY","WILLIAMSVILLE/MACACI/ PAILLET/VIDANGE/ HMA","ADJ"
"279","SPEURP","SAPEUR POMPIER/ SAINT MICHEL/ QUARTIER EBRIÉ/DALLAS","ADJ"
"280","NNGUIA","NANGUI ABROGOUA / MARCHE GOURO / BLACK MARKET / MIRADOR / NOUVELLE GARE","ADJ"
"281","BRAMA","BRAMACOTÉ / DÉLÉGATION / CITÉ RAN / FORUM","ADJ"
"282","CNTREAD","TERRITOIRE ADJAMÉ","ADJ"
"283","AZOPEV","ADZOPE VILLE","ADZ"
"284","AKPEVI","AKOUPE / YAKASSE ATTOBROU / ANDE / YAKASSE ME","ADZ"
"285","AGBVIL","AGBOVILLE VILLE / N'DOUCI / SIKENSI","AGB"
"286","AZGUVIL","AZAGUIE / PETIT YAPO / GRAND YAPO / RUBINO / SECHI","AGB"
"287","CFETO","CAFETOUTOU/AGNIKRO/ADOUKOFFIKRO/GARE DE NIABLE /AFFALIKRO/ANGOUAKRO/DRAMANKRO/NIABLE/ADAOU/BAOULEKRO","ABEN"
"288","CMMER","COMMERCE/RELAIS/HKB/LOBIKRO/CAMP MILITAIRE/PLATEAU","ABEN"
"289","RSDT","RESIDENTIEL/120 LGMT/CHICAGO/BAOULEKRO/DIOULAKRO/GAGOU/OUELLE/GRAV D'OR/COMMERCE/KREGBE/SOSSOBOUGOU","ABEN"
"290","PLTEMI","ADAOU/ADOUKOFIKRO/BAOULEKRO/CAFETOU/AGNIKRO/CMP MILITAIRE/COMMERCE/DIOULAKRO/HKB/LOBKRO/PLATX/RELAIS","ABEN"
"291","GRELO","BONAHOUIN/ARRAH/BONGOUANOU/APRONPRON/ASSIKASSO/AGNIBILEKRO/ANDE/APKAOUSSOU/DAOUKRO/TANKESSE/ANUANSUE","ABEN"
"292","BNON","Bonon / Garango / Gobazra / Bouaflé / Zougoussou / Zambakro / Zuenoula","YAM"
"293","Spim","Sopim / Makora - Belleville / Kokrenou 1 / Kokrenou 2 / Kokrenou 3 / Kokenou 4","YAM"
"294","ASSAB","Assabou 1 - Djahakro - 50 & 227 logements - INPHB / Assabou 2 - 220 logements","YAM"
"295","DLABOU","Dioulabougou 1 / Dioulabougou 2 / Dioulabougou 3 / Dioulabougou 4 / Dioulabougou 5/ Dioulabougou 6","YAM"
"296","MROFE","Morofé / Morofé extention/ Morofé 2 / Morofé 3 -Habitat 1 / Habitat","YAM"
"297","TMOD","Toumodi","DIM"
"298","DMBKRV","Dimbokro ville","DIM"
"299","BCAND","Toumodi / Dimbokro / M'batto / Bocanda","DIM"
"300","SKOURA","Sokoura / Commerce / Centre Ivoire / Houphouet-Ville / Nimbo / Djamourou / Dare_Salam / Tola / Maroc","BKE 1"
"301","KOKO","Koko / Audjenekourani / Hypodrome / Beaufort / Zone / Gonvreville / Beaufort/ Habitat Gonvreville","BKE 1"
"302","ONADKH","Cmrce/Sokoura/Marche/Boniere/Bokala/Dare salam/Belle ville/Air Frce/Djanbourou/Zone/Sakasou/Tola","BKE 1"
"303","CMRCE","Commerce/Nguattakro/Ahougnansou/Houphouet ville/Broukro/Sicogi/Ndakro/Campus/Adje yaokro/Tchelekro","BKE 1"
"304","BKEVILL","Bouaké ville","BKE 1"
"305","GRDM","Grand marche / Nimbo / Kennedi / Sokoura","BKE 2"
"306","AIRFR","Air France 1,2,3 / Corridor sud","BKE 2"
"307","DRSAL","Dares salam Djambourou / Abattoir / Laraba / Corridor Nord","BKE 2"
"308","BLLVIL","Belle ville 1,2,3 / Campement","BKE 2"
"309","GRDMA","Grand marche / Satama Sokora / Brobo / M'bahiakro/ Niakara / Dabakala","KAT"
"310","KTLAVIL","Katiola ville","KAT"
"311","REBANQ","Commerce/Boulevard Ado/Voie kafoudal/Voie de Mbengue/Tarato/Siempurgo/Boundiali/Gbon/Kouto/Tengréla","KOR"
"312","QATAIRF","Quartier 14/Air France/ Sinistré/Sodepra/Cite des medecins/Tiékélézo/Prémafolo/Soba/Kassirimé","KOR"
"313","HSSADG","Haoussadougou / Petit Paris / Soba","KOR"
"314","NVEQUA","Nouveau Quartier / Sossorobougou / Cocody /Klofohakaha","KOR"
"315","BNDLI","Boundiali & Environs","FER"
"316","FRKESS","Ferkessedougou & Environs SICAF1 /SICAF2","FER"
"317","BNAD","Bouna / Doropo / Tanda","BON"
"318","BNDOK1","Bondoukou 1","BON"
"319","BNDOK2","Bondoukou 2","BON"
"320","Lbia","Labia/Mossibougou/Texas/Huberson/ Millionnaire/Soleil/Kenedy2/Suisse/Grand marche/ORLY / Flora","DAL"
"321","ABTT","Abattoir/Marche Manioc/Garage/Orly plateau/Dioulabougou","DAL"
"322","CMERCE 1","Commerce / Kani / Mankono / Serela / Kouenahiri","DAL"
"323","CMERCE 2","Commerce / Kani   / Mankona","MNK"
"324","DMDE","Diomande / Traoré / Rymer / Quartier Grarge / Garage Angola / Sifie / Kouego","MNK"
"325","SGULA","Séguéla/ Mankono / Kani / Dianra","MNK"
"326","MRCHE","Marche / Zele / Dayagoine / Municipal / Campus / Quartier thérèse /","MAN"
"327","CAFOP","Cafop / Camp SEA / Lycée club / Commerce / Koko / Libreville /","MAN"
"328","BKOUMA","Biankouma / Bafing / Touba / Koro / Complexe / Sangouine /","MAN"
"329","MANVI","Man ville","MAN"
"330","NBOUHI","Nanbouhi/Camp manoir/Chateau résidentiel/Gabon/Gbakalepa/Yabayo","SOU"
"331","ANMANB","Anoumanbo/Hibiscus/Sicogi/Sans fil/Zone 4/KBF","SOU"
"332","SBRE","Okrouyo- Guehio -Buyo -Bakayo-osserie-logboville-Dapea-lessirie-commerce-kpeiri-opouyo-cité ouvriere","SOU"
"333","ISSIA","Issia & Environs (mira, zobia, commerce, Saioua)","SOU"
"334","MNGA","Monogaga / Dabiho / Marche / Doupoudou","SPD"
"335","GRDMRCH","Grand marche / Bereby / Commerce","SPD"
"336","CTE","Cité / Jule Ferry / Lac / Sewke / Bardot","SPD"
"337","JLESFE","Lac / Jules ferry / Zone industrielle / Bardot","SPD"
"338","CRDOR","Corridor / Gare / Sotref / Dafci","SPD"
"339","SLEIL","Zapata / Garahio / Babre / Soleil / Dioulabougou","GAG 2"
"340","CRDORS","Dares salam / Grarage Koffi / Garage Dosso / Corridor Sinfra","GAG 2"
"341","Ggnoa2","Gagnoa 2 / Guiberoua / Issia / Gueyo","GAG 2"
"342","CMRCE","Commerce / Gbakayo / Galebre / Tchedelei","GAG 1"
"343","SLEIL","Soleil / Delbo / Millionnaire / Commerce","GAG 1"
"344","GBKY","Dioulabougou / Katalina / Commerce / Gbakayo","GAG 1"
"345","SKOURA","Doukakou / Sokoura / Commerce / Bribore","DIV"
"346","LBANAIS","Konankro / Libanais / Jerusalem / Dialogue 2 / Dioulabougou","DIV"
"347","DLOGUE1","Commerce / Dialogue 1 / Gremian / Benoi","DIV"
"348","Giglo1N","Guiglo 1 nord","GUI 1"
"349","Giglo1S","Guiglo 1 sud","GUI 1"
"350","Giglo1DK","Guiglo 1 / Duekoué","GUI 1"
"351","Giglo2N","Guiglo 2 Nord","GUI 2"
"352","Giglo2S","Guiglo 2 sud","GUI 2"
"353","Giglo2TBA","Guiglo 2 / Touba","GUI 2"
"354","ODNE1","Odiénne 1","ODI"
"355","ODNE2","Odiénne 2","ODI"
"356","SMTIGLA","Odiénne / Tiémé / Madinani / Samatiguila","ODI"
"357","NIBLCAMA","NI3-BLONTIARA/DOROPO2-DASSIKELE/BOBOSSO-ZONGO/commerce /TEFRO-BOUNA2/CAMARASSO","Boun"
"358","BNGO","BOUNA /BROMAKOTE-VARALE/VARALE-DOROPO/AXE BOUNA-VONKORO/AXE BOUNA- MANGO","Boun"
"359","NVEG","NOUVEAU GOUDRON/ FEH KESSE/ CITE SIR/ AKANDJE/ LAURIER 15/SANTE","BIN"
"360","BLAN","BLANCHON/PALMERAIE BINGERVILLE/ADJAME BINGERVILLE/ BREGBO/AKOUAI SANTE/AMAN/","BIN"
"361","BCIE","BASE CIE/ KOROCOBOUGOU/GBAGBA/BERLIN/SAVANE/MACHOU/SICOGI/MACHOUX/MARCHE/","BIN"
"362","ABAT","ABATTA/ABATTA VILLAGE/JULES VERNE/CITE DU PORT","BIN"
"363","BING","TOUT BINGERVILLE","BIN"
"364","LCET","LYCEE TECHNIQUE/VALLON/COLOMBIE","COC 1"
"365","MAHO","MAHOU COLOMBIE","COC 1"
"366","PERL","PERLE/MAHOU/ANGRE","COC 1"
"367","PALM","PALMERAIE/ATTOBAN /BONOUMIN","COC 1"
"368","PALM2","PALMERAIE2 COCOVICO","COC 1"
"369","ANGR","ANGRE 2PLATEAUX 7 TRANCHE","COC 1"
"370","DJOR","BESSIKOI/DJOROBITE","COC 1"
"371","DNGA","DANGA/COCODY CENTRE/BLAUKOSS","COC 2"
"372","BLKH","BLAUKOSS COCODY CENTRE","COC 2"
"373","RVER2","RIVIERA 2/ RIVIERA 3/ GOLF","COC 2"
"374","ANON","ANONO","COC 2"
"375","FAYB","FAYA BON PRIX/ABATTA","COC 2"
"376","CIAD","CIAD/MPOUTO/SYNACACI/FAYA (COTE ECHANGEUR)","COC 2"
"377","ARAS","ARAS/ BELLEVILLE/ BIAFRA/ QUARTIER APOLLO / ZONE 3","TRE"
"378","BIAF","ARAS/ BELLEVILLE/ BIAFRA/ QUARTIER APOLLO / ZONE 3","TRE"
"379","RSD","RÉSIDENTIEL / CHAMPROUX / GROUPEMENT/ HIBISCUS / MASSARANA","MAR"
"380","SICOG","SICOGI / REMBLAIS / ANOUMANBO/ SANS FIL / ZONE 4","MAR"
"381","HIBI","RÉSIDENTIEL / CHAMPROUX / GRPE/ HIBISCUS / MASSARANA / SICOGI / REMBLAIS /ANOUMANBO/ SANS FIL/ ZONE4","MAR"
"382","RBLA","REMBLAIS/MARAIS/ DIVO/ KOUMASSI 32/ TERM 05","KOU"
"383","CTE147","CITÉ 147/ PRODOMO/SOPIM/ CAMPEMENT/SOWETO/SICOGI","KOU"
"384","AHOU","AHOUSSABOUGOU/ 3 AMPOULES/ MARCHÉ DJE KONAN/SOLEIL/GELTI","KOU"
"385","KMSS32","REMBLAIS/MARAIS/ DIVO/ KOUMASSI 32/ TERM 05 /3 AMPOULES / AHOUSSABOUGOU","KOU"
"386","PRDM","CITÉ 147/ PRODOMO/SOPIM/ CAMPEMENT/SOWETO/SICOGI/ MARCHÉ DJE KONAN / SOLEIL","KOU"
"387","PRBC","PORT BOUET CENTRE/CITÉ POLICIÈRE/PETIT BASSAM/VRIDI","PRB"
"388","AERO","AÉROPORT/ ADJAWUI","PRB"
"389","JANF","JEAN FOLLY/ ADJOUFOU","PRB"
"390","TRCA","TERRE ROUGE/CORRIDOR/ANANI","PRB"
"391","PRBO","PORT BOUET","PRB"
"392","MOKE","MOCKEYVILLE/UNIVERSITÉ AMÉRICAINE/ EDOUKOU MIEZAN/QUARTIER ARTISANAL/MODESTE/ANANI/MOOSOU 1","BAS"
"393","VETO","VETOCO/MOOSOU2/IMPERIAL/DOS/QUARTIER FRANCE/DIOULABOUGOU/AZURETI","BAS"
"394","ANAN","ANANI/DOS/ DIOULABOUGO/PETIT MARCHÉ","BAS"
"395","8KLO","8 KILOS/ YAOU/CENTRE VILLE/BEGNERI/SAMO/ASSINIE","BAS"
"396","YAOU","8 KILOS/ YAOU/CENTRE VILLE/BEGNERI/SAMO/ASSINIE","BAS"
"397","CTREV","8 KILOS/ YAOU/CENTRE VILLE/BEGNERI","BAS"
"399","DIATEK","DIATEKRO/SOKORA/CCE/WATTVILLE/BELLEVILLE/SOS/DOSOBAH/CITÉ KOUMI/LYCÉE/ KRINDJABO/KOLAIWA/SANHOUMAN","ABO"
"400","AYME","AYAMÉ/EBIKRA/AKRESIE/N’ZIKRO/BABADOUGOU/EBOUÉ/ABY/ADJOUAN/MOYASSUÉ/AKAKRO/  V1/V2/KRINDJABO/KASSIKRO","ABO"
"401","ADKE","ADIAKÉ/ABOISSO/AYAMÉ/ KRINDJABO/ NOÉ/ ASSE/SOUMIÉ/N'ZIKRO/ KOFFIKRO/BABADOUGOU/ CARF AHENOUA/ADAOU","ABO"
"402","AGBA","AGBAN VILLAGE / CITE FERMONT / ATTECOUBE CENTRE / PLATEAU CENTRE / MARCHE DE FRUIT","PLA"
"403","CTEFER","AGBAN VILLAGE / CITE FERMONT / ATTECOUBE CENTRE / PLATEAU CENTRE / MARCHE DE FRUIT","PLA"
"404","ATTC","YOPOUGON 1 & 2","YOP 1"
"405","WASS","WASSAKARA /  SELMER / SICOGI","YOP 1"
"406","SELM","WASSAKARA /  SELMER / SICOGI","YOP 1"
"407","SBLE","YOPOUGON SABLE / MILLIONNAIRE / NOUVEAU QUARTIER","YOP 1"
"408","MILLI","YOPOUGON SABLE / MILLIONNAIRE / NOUVEAU QUARTIER","YOP 1"
"409","NGON","NIANGON NORD / SIDECI","YOP 1"
"410","TOROU","TOIT ROUGE / LOKODJRO / ATTECOUBE MOSSIKRO","YOP 1"
"411","LKOD","TOIT ROUGE / LOKODJRO / ATTECOUBE MOSSIKRO","YOP 1"
"412","NGOS","NIANGON SUD / AZITO","YOP 2"
"413","AZTO","NIANGON SUD/ AZITO","YOP 2"
"414","KTE","KOUTÉ/ PETIT TOIT ROUGE/ BÉAGO","YOP 2"
"415","BEAG","KOUTÉ/ PETIT TOIT ROUGE/ BÉAGO","YOP 2"
"416","KWEI","KOWEIT/ SANTÉ/ ABOBO DOUMÉ/ AGBAYATÉ","YOP 2"
"417","YOPS","KOWEIT/ YOPOUGON SANTÉ/ ABOBO DOUMÉ/ AGBAYATÉ","YOP 2"
"418","ADKOI","ANDOKOI/ UNIWAX/CRF ZONE /PRISON CIVILE/SODEFOR  ET CITÉ ADO","YOP 3"
"419","ZNEIND","ZONE INDUSTRIELLE/ MICAO/GESCO FOURRIÈRE/ PK22/SIKENSI/ATTINGUÉ","YOP 3"
"420","MCAO","ANDOKOI/ UNIWAX/ ZONE INDUSTRIELLE/ MICAO GESCO FOURRIÈRE/PRISON CIVILE/ SODEFOR/CITÉ ADO......","YOP 3"
"421","GSCO","ANDOKOI/UNIWAX/ ZONE INDUSTRIELLE/ MICAO/ GESCO FOURRIÈRE/ PRISON CIVILE/ SODEFOR ET CITÉ ADO....","YOP 3"
"422","SPOREXBANCO2/ ABOULAYE DIALLO/ ANANE","SIPOREX/ BANCO2/ ABOULAYE DIALLO/ ANANERAIE/ MAMIE ADJOUA/PORT BOUET 2/CRF CHU/MOSQUÉE KOUDOUS","YOP 3"
"423","PRTBOU","PORT BOUET 2/CRF CHU/MOSQUÉE KOUDOUS/ ANANERAIE/ FUSCOM PORT BOUET 2/RD POINT GESCO","YOP 3"
"424","AANERAIEANANERAI","ANANERAIE/ GESCO RD POINT/ BATIM/MAMIE ADJOUA","YOP 3"
"425","LBAFRIQUEJATARK","LUBAFRIQUE/ JATARK/ LOKOA/CITÉ VERTE/BAGNON/ LIÈVRE ROUGE/KM17/BIMBRESSO/","YOP 4"
"426","CNEO","MATY/CANARI /ANTENNE/ SICOGI ATTIÉ/NIANGON À DROITE/ NIANGON CONTINUE/ CITÉ EECI","YOP 4"
"427","KBIM","KM17/BIMBRESSO/  ́JATARK/LOKOA CITÉ VERTE/ LIÈVRE ROUGE","YOP 4"
"428","DCCO","SICOGI ATTIÉ/ST ANDRÉ CÔTÉ DROIT/ PMI/AIMÉ CESAIRE/BON PRIX/ CRF BOBY & POLICIER CÔTÉ DROIT/BAR ECLA","YOP 4"
"429","TRMINUSNUS","TERMINUS 47 SECTEUR DROIT/ SICOGI PMI/ TIKEN DJA/BMW/KIMI","YOP 4"
"430","AADÉMIEMIE","ACADÉMIE/ FIN GOUDRON/ PAYS BAS/CAISTAB/CITÉ LAURIER/ CITÉ VERTE","YOP 4"
"431","MROCAN","MAROC/ANANERAIE/ PORT BOUET 2/LUBAFRIQUE/ NIANGON À DROITE /TEXACO À DROITE","YOP 4"
"432","SNGONN","SONGON/N’DJEM/ CARREFOUR JACQUESVILLE/JACQUESVILLE VILLE/ DABOU/N’ZEKREZESSOU....","DAB"
"433","GANDLA","GRAND LAHOU/CRF GRAND LAHOU/CRF FRESCO/FRESCO VILLE ET PÉRIPHÉRIES","DAB"
"434","DBOUVI","DABOU VILLE/ SONGON/ CARREFOUR JACQUESVILLE....","DAB"
"435","SNGON","SONGON/ CARREFOUR JACQUESVILLE/ JACQUESVILLE/ DABOU/GRAND LAHOU/FRESCO/","DAB"
"436","DKUI","DOKUI / ANADOR / COCO SERVICE DERRIÈRE UNIVERSITÉ ABOBO/ADJAMÉ / ALEPE","ABO 1"
"437","AOCATIERAVOCATIE","AVOCATIER / BC AUTOUTE / NOUVELLE GARE / AGNISSANKOI / BC","ABO 1"
"438","SMANKEKE","SAMANKE / KOLETCHA / ABOBO BAOULE / BIABOU","ABO 1"
"439","AEIKOIOI","AKEIKOI  / HABITAT  / AGBEKOI /  HOUPHOUT BOIGNY","ABO 1"
"440","LCEEMO","LYCEE MODERNE / ETOILE / GENDARMERIE / BON PRIX GENDARMERIE / CHATTONS","ABO 1"
"441","CTEPOL","CITE POLICIERE / CAMP COMMANDO / CNPS / AVENUE KAZA / COLATIER","ABO 1"
"442","AOBOGA","ABOBO GARE  / MAIRIE","ABO 1"
"443","MSQUEB","MOSQUE BLANCHE/ANOKOUA KOUTE/MARAHOUE/AGRIPAC","ABO 2"
"444","MSQUEB","MOSQUE BLANCHE/ANOKOUA KOUTE/MARAHOUE/AGRIPAC","ABO 2"
"445","SDECIO","SODECI/ONUCI/SOTRAPIM/CARREFOUR DIALLO/TAXI BAGAGE","ABO 2"
"446","SDECIO","SODECI/ONUCI/SOTRAPIM/CARREFOUR DIALLO/TAXI BAGAGE","ABO 2"
"447","CACOCC","CMA/COCCINELLE/CONCORDE/BOIS SEC/DELICE DE FRANCE / ANCIEN MARCHE/UNICAFE/FEU ENCIENNE GENDARMERIE","ABO 2"
"448","ACIENNE","ANCIENNE GENDARMERIE/ BELLE VILLE MORGUE/ GARE /ADZOPE/AGBOVILLE","ANY"
"449","CÄTEAU","CHÄTEAU/MARCHE COLA/MARCHE D'ANYAMA/DON ORION/AZAGUIE/BILDA AZAGUIE AWA ATTINGUE","ANY"
"450","AYAMAP","ANYAMA/PLAQUE ARABE/ANYAMA RESIDENTIEL/EBIMPE/","ANY"
"451","CÄTEAU","CHÄTEAU/MARCHE COLA/MARCHE D'ANYAMA/DON ORION/ MACHE CHAKA KONE","ANY"
"452","AEAUTO","AXE AUTOROUTE N'DOTRE/ DANDI/COMPLEXE/MAIRIE","ANY"
"453","ANCGEN","ANCIENNE GENDARMERIE/ BELLE VILLE MORGUE/ GARE","ANY"
"454","BNDJIN1","BANDJI/N'DOTRE EXTENSION/CELESTE/NOUVELLE CASSE / ARC EN CIEL/DANDY/KOBAKRO/TERRE ROUGE/AKWABA","ANY"
"455","BNDJIN2","BANDJI/N'DOTRE EXTENSION/CELESTE/NOUVELLE CASSE / ARC EN CIEL/DANDY/KOBAKRO/TERRE ROUGE/AKWABA","ANY"
"456","20LGTSLGTS","220LGTS / LIBERTÉ / QUARTIER LATIN / BRACODI / TERRASSE/RENAULT","ADJ"
"457","WILLY","WILLIAMSVILLE/MACACI/ PAILLET/VIDANGE/ HMA","ADJ"
"458","SPEURP","SAPEUR POMPIER/ SAINT MICHEL/ QUARTIER EBRIÉ/DALLAS","ADJ"
"459","NNGUIA","NANGUI ABROGOUA / MARCHE GOURO / BLACK MARKET / MIRADOR / NOUVELLE GARE","ADJ"
"460","BRAMA","BRAMACOTÉ / DÉLÉGATION / CITÉ RAN / FORUM","ADJ"
"461","CNTREAD","TERRITOIRE ADJAMÉ","ADJ"
"462","AZOPEV","ADZOPE VILLE","ADZ"
"463","AKPEVI","AKOUPE / YAKASSE ATTOBROU / ANDE / YAKASSE ME","ADZ"
"464","AGBVIL","AGBOVILLE VILLE / N'DOUCI / SIKENSI","AGB"
"465","AZGUVIL","AZAGUIE / PETIT YAPO / GRAND YAPO / RUBINO / SECHI","AGB"
"466","CFETO","CAFETOUTOU/AGNIKRO/ADOUKOFFIKRO/GARE DE NIABLE /AFFALIKRO/ANGOUAKRO/DRAMANKRO/NIABLE/ADAOU/BAOULEKRO","ABEN"
"467","CMMER","COMMERCE/RELAIS/HKB/LOBIKRO/CAMP MILITAIRE/PLATEAU","ABEN"
"468","RSDT","RESIDENTIEL/120 LGMT/CHICAGO/BAOULEKRO/DIOULAKRO/GAGOU/OUELLE/GRAV D'OR/COMMERCE/KREGBE/SOSSOBOUGOU","ABEN"
"469","PLTEMI","ADAOU/ADOUKOFIKRO/BAOULEKRO/CAFETOU/AGNIKRO/CMP MILITAIRE/COMMERCE/DIOULAKRO/HKB/LOBKRO/PLATX/RELAIS","ABEN"
"470","GRELO","BONAHOUIN/ARRAH/BONGOUANOU/APRONPRON/ASSIKASSO/AGNIBILEKRO/ANDE/APKAOUSSOU/DAOUKRO/TANKESSE/ANUANSUE","ABEN"
"471","BNON","Bonon / Garango / Gobazra / Bouaflé / Zougoussou / Zambakro / Zuenoula","YAM"
"472","Spim","Sopim / Makora - Belleville / Kokrenou 1 / Kokrenou 2 / Kokrenou 3 / Kokenou 4","YAM"
"473","ASSAB","Assabou 1 - Djahakro - 50 & 227 logements - INPHB / Assabou 2 - 220 logements","YAM"
"474","DLABOU","Dioulabougou 1 / Dioulabougou 2 / Dioulabougou 3 / Dioulabougou 4 / Dioulabougou 5/ Dioulabougou 6","YAM"
"475","MROFE","Morofé / Morofé extention/ Morofé 2 / Morofé 3 -Habitat 1 / Habitat","YAM"
"476","TMOD","Toumodi","DIM"
"477","DMBKRV","Dimbokro ville","DIM"
"478","BCAND","Toumodi / Dimbokro / M'batto / Bocanda","DIM"
"479","SKOURA","Sokoura / Commerce / Centre Ivoire / Houphouet-Ville / Nimbo / Djamourou / Dare_Salam / Tola / Maroc","BKE 1"
"480","KOKO","Koko / Audjenekourani / Hypodrome / Beaufort / Zone / Gonvreville / Beaufort/ Habitat Gonvreville","BKE 1"
"481","ONADKH","Cmrce/Sokoura/Marche/Boniere/Bokala/Dare salam/Belle ville/Air Frce/Djanbourou/Zone/Sakasou/Tola","BKE 1"
"482","CMRCE","Commerce/Nguattakro/Ahougnansou/Houphouet ville/Broukro/Sicogi/Ndakro/Campus/Adje yaokro/Tchelekro","BKE 1"
"483","BKEVILL","Bouaké ville","BKE 1"
"484","GRDM","Grand marche / Nimbo / Kennedi / Sokoura","BKE 2"
"485","AIRFR","Air France 1,2,3 / Corridor sud","BKE 2"
"486","DRSAL","Dares salam Djambourou / Abattoir / Laraba / Corridor Nord","BKE 2"
"487","BLLVIL","Belle ville 1,2,3 / Campement","BKE 2"
"488","GRDMA","Grand marche / Satama Sokora / Brobo / M'bahiakro/ Niakara / Dabakala","KAT"
"489","KTLAVIL","Katiola ville","KAT"
"490","REBANQ","Commerce/Boulevard Ado/Voie kafoudal/Voie de Mbengue/Tarato/Siempurgo/Boundiali/Gbon/Kouto/Tengréla","KOR"
"491","QATAIRF","Quartier 14/Air France/ Sinistré/Sodepra/Cite des medecins/Tiékélézo/Prémafolo/Soba/Kassirimé","KOR"
"492","HSSADG","Haoussadougou / Petit Paris / Soba","KOR"
"493","NVEQUA","Nouveau Quartier / Sossorobougou / Cocody /Klofohakaha","KOR"
"494","BNDLI","Boundiali & Environs","FER"
"495","FRKESS","Ferkessedougou & Environs SICAF1 /SICAF2","FER"
"496","BNAD","Bouna / Doropo / Tanda","BON"
"497","BNDOK1","Bondoukou 1","BON"
"498","BNDOK2","Bondoukou 2","BON"
"499","Lbia","Labia/Mossibougou/Texas/Huberson/ Millionnaire/Soleil/Kenedy2/Suisse/Grand marche/ORLY / Flora","DAL"
"500","ABTT","Abattoir/Marche Manioc/Garage/Orly plateau/Dioulabougou","DAL"
"501","CMERCE 1","Commerce / Kani / Mankono / Serela / Kouenahiri","DAL"
"502","CMERCE 2","Commerce / Kani   / Mankona","MNK"
"503","DMDE","Diomande / Traoré / Rymer / Quartier Grarge / Garage Angola / Sifie / Kouego","MNK"
"504","SGULA","Séguéla/ Mankono / Kani / Dianra","MNK"
"505","MRCHE","Marche / Zele / Dayagoine / Municipal / Campus / Quartier thérèse /","MAN"
"506","CAFOP","Cafop / Camp SEA / Lycée club / Commerce / Koko / Libreville /","MAN"
